id,game_id,year,team_id,goals,result_id
314,9440,2010,12,5,3
315,9449,2010,12,1,2
316,9581,2010,12,3,1
317,9593,2010,12,2,1
318,9617,2010,12,1,1
319,9638,2010,12,1,2
320,9654,2010,12,5,1
321,9693,2010,12,5,1
322,9703,2010,12,2,2
323,9733,2010,12,3,1
324,9745,2010,12,4,4
325,9761,2010,12,5,1
326,9780,2010,12,1,2
327,9800,2010,12,2,1
328,9806,2010,12,1,2
329,9854,2010,12,2,2
330,9868,2010,12,3,2
331,9952,2010,12,4,1
332,10008,2010,12,3,1
333,10016,2010,12,1,2
334,10047,2010,12,3,4
335,10094,2010,12,4,2
336,10107,2010,12,1,2
337,10162,2010,12,3,2
338,10173,2010,12,2,2
339,10227,2010,12,2,1
340,10242,2010,12,1,3
341,10255,2010,12,2,2
342,10344,2010,12,5,1
343,10354,2010,12,4,1
344,10399,2010,12,1,2
345,10415,2010,12,3,1
346,10449,2010,12,3,2
347,10478,2010,12,2,2
348,10485,2010,12,0,2
349,10502,2010,12,5,1
350,10533,2010,12,2,1
351,10550,2010,12,1,2
352,10597,2010,12,3,2
353,10613,2009,12,0,2
354,10671,2009,12,2,2
355,10700,2009,12,5,1
356,10720,2009,12,4,1
357,10759,2009,12,3,1
358,10767,2009,12,2,2
359,10802,2009,12,1,2
360,10815,2009,12,1,2
361,10839,2009,12,1,2
362,10877,2009,12,1,1
363,10927,2009,12,4,1
364,10984,2009,12,4,1
365,11001,2009,12,3,1
366,11008,2009,12,1,2
367,11016,2009,12,3,3
368,11058,2009,12,6,1
369,11063,2009,12,3,1
370,11174,2009,12,3,1
371,11183,2009,12,2,2
372,11257,2009,12,3,1
373,11278,2009,12,2,2
374,11351,2009,12,3,2
375,11354,2009,12,1,2
376,11407,2009,12,2,3
377,11418,2009,12,2,1
378,11436,2009,12,7,1
379,11466,2009,12,3,1
380,11482,2009,12,3,4
381,11551,2009,12,6,1
382,11566,2009,12,5,1
383,11572,2009,12,1,2
384,11585,2009,12,2,2
385,11599,2009,12,2,2
386,11613,2009,12,6,4
387,11634,2009,12,6,2
388,11706,2009,12,0,2
389,11708,2009,12,0,2
390,11757,2009,12,2,1
391,11765,2009,12,0,2
392,11801,2009,12,1,2
393,11816,2009,12,1,2
394,11880,2008,12,2,2
395,11892,2008,12,3,1
396,11904,2008,12,7,1
397,11916,2008,12,4,2
398,12026,2008,12,1,2
399,12039,2008,12,1,2
400,12115,2008,12,3,1
401,12125,2008,12,1,2
402,12161,2008,12,5,1
403,12174,2008,12,0,2
404,12180,2008,12,3,2
405,12265,2008,12,3,1
406,12276,2008,12,2,4
407,12297,2008,12,9,1
408,12300,2008,12,4,1
409,12319,2008,12,5,1
410,12325,2008,12,3,1
411,12389,2008,12,3,2
412,12438,2008,12,3,1
413,12448,2008,12,6,1
414,12502,2008,12,1,2
415,12514,2008,12,0,2
416,12521,2008,12,3,4
417,12634,2008,12,0,2
418,12693,2008,12,4,1
419,12713,2008,12,3,2
420,12725,2008,12,2,2
421,12742,2008,12,4,1
422,12749,2008,12,3,1
423,12778,2008,12,2,1
424,12806,2008,12,1,2
