id,team_id,year,playoffs
230,31,2015,1
231,16,2015,1
232,29,2015,0
233,1,2015,0
234,10,2015,1
235,6,2015,1
236,11,2015,1
237,17,2015,0
238,28,2015,0
239,21,2015,0
240,8,2015,0
241,22,2016,1
242,20,2016,1
243,32,2016,1
244,4,2016,0
245,27,2016,0
246,5,2016,0
247,26,2016,0
248,19,2016,0
249,7,2016,1
250,23,2016,1
251,25,2016,1
252,14,2016,1
253,12,2016,1
254,13,2016,0
255,9,2016,0
256,15,2016,0
257,29,2016,1
258,3,2016,1
259,2,2016,1
260,24,2016,1
261,31,2016,1
262,1,2016,0
263,16,2016,0
264,10,2016,1
265,17,2016,1
266,28,2016,1
267,8,2016,0
268,11,2016,0
269,6,2016,0
270,21,2016,0
271,5,2017,1
272,27,2017,1
273,4,2017,1
274,19,2017,1
275,20,2017,0
276,22,2017,0
277,32,2017,0
278,26,2017,0
279,7,2017,1
280,23,2017,1
281,15,2017,1
282,25,2017,1
283,14,2017,0
284,12,2017,0
285,13,2017,0
286,9,2017,0
287,2,2017,1
288,31,2017,1
289,3,2017,1
290,24,2017,1
291,16,2017,0
292,29,2017,0
293,1,2017,0
294,10,2017,1
295,21,2017,1
296,28,2017,1
297,11,2017,1
298,17,2017,0
299,8,2017,0
300,6,2017,0
301,20,2018,1
302,4,2018,1
303,19,2018,1
304,22,2018,0
305,32,2018,0
306,5,2018,0
307,27,2018,0
308,26,2018,0
309,7,2018,1
310,23,2018,1
311,12,2018,1
312,15,2018,1
313,9,2018,1
314,13,2018,0
315,14,2018,0
316,25,2018,0
317,24,2018,1
318,16,2018,1
319,31,2018,1
320,1,2018,1
321,3,2018,0
322,29,2018,0
323,2,2018,0
324,18,2018,1
325,10,2018,1
326,28,2018,1
327,17,2018,1
328,11,2018,0
329,21,2018,0
330,6,2018,0
331,8,2018,0
